,Source,Start_Lat,Start_Lng,Distance(mi),Side,City,State,Timezone,Airport_Code,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset,Severity_of_accidents,year_recorded,month_recorded,day_recorded,diff_hours,diff_minutes
690603,MapQuest,38.768337,-76.88475799999999,0.0,R,Clinton,MD,US/Eastern,KADW,48.0,48.0,49.0,29.23,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,Night,1,2020,2,2,0.4922222222222222,29.533333333333335
3152997,Bing,35.383246,-119.074105,0.0,L,Bakersfield,CA,US/Pacific,KBFL,81.0,81.0,29.0,29.5,10.0,NW,8.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,Day,1,2019,9,11,1.4041666666666666,84.25
661284,MapQuest,43.105511,-83.637169,0.0,R,Mount Morris,MI,US/Eastern,KFNT,34.0,23.0,60.0,29.43,10.0,WNW,18.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2020,1,16,1.4933333333333334,89.6
1050687,MapQuest,35.176769,-80.756561,0.0,R,Charlotte,NC,US/Eastern,KCLT,63.0,63.0,87.0,29.21,10.0,NNW,7.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,Day,1,2019,7,24,3.1044444444444443,186.26666666666668
278045,MapQuest,29.834705,-95.410774,0.01,R,Houston,TX,US/Central,KMCJ,62.6,,55.0,30.27,10.0,NE,9.2,Clear,False,False,False,False,False,False,False,False,False,True,False,False,Day,1,2016,11,10,0.7475,44.85
1640329,MapQuest,32.968647,-80.00316600000001,0.0,L,Goose Creek,SC,US/Eastern,KCHS,82.9,,74.0,29.96,10.0,South,6.9,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,9,10,0.49694444444444447,29.816666666666666
758343,MapQuest,39.759296,-104.99373600000001,0.0,R,Denver,CO,US/Mountain,KBJC,46.0,36.0,43.0,24.37,10.0,W,41.0,Partly Cloudy / Windy,False,False,True,False,False,False,True,False,False,False,False,True,Night,1,2019,12,3,0.77,46.2
1593605,MapQuest,33.474911,-81.986298,0.0,L,Augusta,GA,US/Eastern,KDNL,66.0,,42.0,30.37,10.0,East,15.0,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,10,18,0.49777777777777776,29.866666666666667
3489743,Bing,41.84946,-71.41108,0.42200000000000004,R,Providence,RI,US/Eastern,KSFZ,87.0,87.0,41.0,29.39,10.0,NNW,3.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,7,3,0.4822222222222222,28.933333333333334
2548041,Bing,31.103620000000003,-82.57468,0.38,R,Manor,GA,US/Eastern,KHOE,73.4,,94.0,29.61,10.0,NNW,13.8,Rain,False,False,False,False,False,False,False,False,False,False,False,False,Night,2,2016,10,7,6.0,360.0
820191,MapQuest,41.005402000000004,-73.851913,0.0,R,Ardsley,NY,US/Eastern,KHPN,46.0,43.0,86.0,29.68,10.0,NW,6.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,Day,1,2019,10,15,2.3219444444444446,139.31666666666666
1678839,MapQuest-Bing,33.926041,-118.325363,0.310000002384,R,Hawthorne,CA,US/Pacific,KHHR,64.9,,90.0,29.92,4.0,NNW,3.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2018,9,27,0.49083333333333334,29.45
1824005,MapQuest,33.739594,-117.833923,0.0,R,Tustin,CA,US/Pacific,KSNA,73.0,,66.0,29.85,8.0,South,8.1,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,6,12,0.4816666666666667,28.9
3228687,Bing,38.459519,-120.04888000000001,0.435,R,Arnold,CA,US/Pacific,KO22,48.2,,25.0,30.05,10.0,Calm,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,2,2018,12,27,0.49583333333333335,29.75
558726,MapQuest-Bing,34.068878000000005,-117.839455,0.0,R,Covina,CA,US/Pacific,KPOC,63.0,63.0,82.0,28.82,5.0,SSW,6.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,2,2020,6,28,0.7472222222222222,44.833333333333336
2109912,MapQuest,32.675133,-97.00679000000001,0.0,R,Grand Prairie,TX,US/Central,KGPM,44.6,42.2,27.0,30.36,10.0,WNW,4.6,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2018,1,3,0.485,29.1
3390867,Bing,42.3739,-84.42889,0.6779999999999999,R,Jackson,MI,US/Eastern,KJXN,12.9,0.7,77.0,30.12,0.5,WNW,9.2,Snow,False,False,False,False,True,False,False,False,False,False,False,False,Day,1,2017,12,30,6.0,360.0
2197780,MapQuest,28.83462,-82.329033,0.0,L,Inverness,FL,US/Eastern,KINF,59.0,,88.0,30.12,10.0,Calm,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2017,12,15,0.7433333333333333,44.6
374819,MapQuest,42.405792,-71.163589,0.01,R,Arlington,MA,US/Eastern,KBED,36.0,27.1,39.0,30.11,10.0,North,13.8,Clear,False,False,False,False,True,False,False,False,False,False,False,False,Day,1,2017,3,20,0.49472222222222223,29.683333333333334
3031949,Bing,44.89073,-93.27289,0.0,R,Minneapolis,MN,US/Central,KMSP,33.0,23.0,89.0,28.56,0.75,NW,16.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,12,30,0.5511111111111111,33.06666666666667
2631180,Bing,38.32442,-121.32699,0.151,R,Galt,CA,US/Pacific,KSAC,57.0,,93.0,29.93,6.0,South,9.2,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2017,2,3,6.0,360.0
431653,MapQuest,30.424590999999996,-97.671875,0.01,R,Austin,TX,US/Central,KEDC,64.4,,100.0,30.02,10.0,NNE,6.9,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,Day,2,2017,4,18,0.7391666666666666,44.35
1680873,MapQuest,36.185635,-86.747551,0.0,L,Nashville,TN,US/Central,KBNA,73.0,,57.0,30.15,10.0,ENE,4.6,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,9,28,0.495,29.7
153455,MapQuest,32.612419,-83.742897,0.0,L,Byron,GA,US/Eastern,KMCN,80.1,,62.0,30.07,10.0,NNE,4.6,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2016,9,22,0.4880555555555556,29.283333333333335
2220144,MapQuest,45.336459999999995,-93.004837,0.0,R,Wyoming,MN,US/Central,KOEO,6.4,-3.9,74.0,30.39,7.0,SSE,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2017,12,28,0.49583333333333335,29.75
2019945,MapQuest,25.625435,-80.430557,0.0,L,Miami,FL,US/Eastern,KTMB,66.0,,93.0,29.87,10.0,Calm,,Clear,False,False,True,False,False,False,False,False,False,False,False,False,Day,1,2018,3,19,0.49527777777777776,29.716666666666665
1643324,MapQuest,30.407884999999997,-97.674561,0.0,R,Austin,TX,US/Central,KATT,71.6,,94.0,29.96,10.0,Calm,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2018,9,11,0.49027777777777776,29.416666666666668
1592718,MapQuest,35.559196,-82.63855,0.0,L,Asheville,NC,US/Eastern,KAVL,66.9,,27.0,30.31,10.0,Calm,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,10,18,0.49472222222222223,29.683333333333334
1628614,MapQuest,32.873943,-96.897873,0.0,R,Dallas,TX,US/Central,KDAL,75.9,,87.0,29.98,10.0,SE,10.4,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,2,2018,9,4,0.49527777777777776,29.716666666666665
784110,MapQuest,42.697140000000005,-73.83899699999999,0.0,R,Albany,NY,US/Eastern,KALB,28.0,23.0,53.0,29.96,10.0,NW,5.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,12,16,1.5158333333333334,90.95
2271585,MapQuest,37.701584000000004,-121.906929,0.0,R,Pleasanton,CA,US/Pacific,KLVK,61.0,,87.0,30.1,10.0,Calm,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,2,2017,11,23,0.7411111111111112,44.46666666666667
758180,MapQuest,34.707005,-86.672043,0.0,R,Huntsville,AL,US/Central,KHUA,41.0,38.0,61.0,29.17,10.0,SW,5.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2019,12,3,2.1125,126.75
453681,MapQuest,47.46777,-122.217903,0.00999999977648,R,Renton,WA,US/Pacific,KRNT,51.1,,83.0,29.97,4.0,SSW,5.8,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,Day,1,2017,5,15,0.7427777777777778,44.56666666666667
2184245,MapQuest,41.559185,-93.776482,0.0,R,West des Moines,IA,US/Central,KDSM,28.0,16.5,51.0,30.17,10.0,NNW,15.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,Day,2,2017,12,9,0.7405555555555555,44.43333333333333
2251935,MapQuest,33.866108000000004,-117.997299,0.0,R,Buena Park,CA,US/Pacific,KFUL,69.1,,51.0,30.1,4.0,Calm,,Haze,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2017,11,14,0.7452777777777778,44.71666666666667
583037,MapQuest,32.669540000000005,-96.92581899999999,0.0,R,Dallas,TX,US/Central,KRBD,49.0,47.0,52.0,29.78,10.0,N,5.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2020,3,6,2.2444444444444445,134.66666666666666
2193005,MapQuest,29.776106,-95.457764,0.0,L,Houston,TX,US/Central,KMCJ,46.4,,50.0,30.16,10.0,Calm,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2017,12,13,0.4925,29.55
3240553,Bing,42.35942,-87.87419,0.0,R,Waukegan,IL,US/Central,KUGN,37.9,33.5,73.0,30.03,9.0,West,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,Day,2,2018,11,16,0.4930555555555556,29.583333333333332
2261594,MapQuest,30.220793,-81.57133499999999,0.0,R,Jacksonville,FL,US/Eastern,KNIP,50.0,,59.0,30.13,10.0,North,15.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,2,2017,11,20,0.7441666666666666,44.65
667264,MapQuest,43.118111,-83.813713,0.0,L,Flushing,MI,US/Eastern,KFNT,9.0,1.0,80.0,29.65,10.0,W,5.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2020,1,20,1.4955555555555555,89.73333333333333
634020,MapQuest,41.985931,-87.86142,0.0,R,Des Plaines,IL,US/Central,KORD,50.0,50.0,93.0,29.15,1.0,CALM,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2020,4,28,1.2791666666666666,76.75
2715902,Bing,34.257329999999996,-118.47235,0.21100000000000002,R,North Hills,CA,US/Pacific,KVNY,95.0,,30.0,29.83,10.0,SE,8.1,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2017,7,27,6.0,360.0
450558,MapQuest,29.596148,-95.448006,0.0,R,Houston,TX,US/Central,KAXH,76.1,,77.0,30.04,10.0,SE,8.1,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2017,5,9,0.7419444444444444,44.516666666666666
1738244,MapQuest,42.724125,-85.672089,0.0,R,Wayland,MI,US/Eastern,KGRR,69.1,,93.0,29.94,10.0,ESE,9.2,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2018,8,28,0.49472222222222223,29.683333333333334
486280,MapQuest,30.276172999999996,-97.699821,0.0,R,Austin,TX,US/Central,KATT,78.1,,84.0,29.95,10.0,Variable,6.9,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2017,6,14,0.7458333333333333,44.75
3409751,Bing,40.958588,-115.46541,1.607,R,Deeth,NV,US/Pacific,K9BB,72.0,72.0,11.0,24.72,10.0,VAR,3.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2017,10,19,6.0,360.0
2773145,Bing,34.509383,-118.11211200000001,0.0,R,Palmdale,CA,US/Pacific,KPMD,80.0,80.0,25.0,27.24,10.0,SSW,16.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2020,5,17,0.5280555555555555,31.683333333333334
1880380,MapQuest-Bing,40.853072999999995,-73.960197,0.0,R,Fort Lee,NJ,US/Eastern,KTEB,55.0,,89.0,30.02,4.0,Calm,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2018,5,10,0.49194444444444446,29.516666666666666
1176155,MapQuest,39.108204,-94.738739,0.0,R,Kansas City,KS,US/Central,KNKA,73.0,73.0,76.0,28.86,10.0,ESE,8.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2019,5,18,2.0141666666666667,120.85
2615602,Bing,37.65791,-121.90288999999999,0.381,R,Pleasanton,CA,US/Pacific,KLVK,60.1,,83.0,29.96,10.0,West,3.5,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2016,9,1,6.0,360.0
1795169,MapQuest,47.605309000000005,-122.33949299999999,0.0,R,Seattle,WA,US/Pacific,KBFI,82.9,,34.0,29.99,10.0,Variable,3.5,Clear,False,False,True,False,False,False,False,False,False,False,False,False,Day,1,2018,7,27,0.9966666666666667,59.8
3236758,Bing,34.392789,-84.088549,0.032,R,Dawsonville,GA,US/Eastern,KCNI,44.6,43.1,39.0,30.27,10.0,NNW,3.5,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2018,11,10,0.49166666666666664,29.5
2023994,MapQuest,33.459358,-112.007263,0.439999997616,R,Phoenix,AZ,US/Mountain,KPHX,72.0,,10.0,29.97,10.0,ESE,5.8,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,3,20,0.4936111111111111,29.616666666666667
3405105,Bing,38.417733,-76.693821,3.9989999999999997,R,Mechanicsville,MD,US/Eastern,K2W6,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Night,2,2017,10,9,6.0,360.0
1736060,MapQuest,35.409157,-80.857414,0.0,R,Huntersville,NC,US/Eastern,KJQF,71.6,,94.0,30.21,4.0,Calm,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2018,8,27,0.49666666666666665,29.8
1424249,MapQuest,36.206684,-86.776169,0.0,R,Nashville,TN,US/Central,KBNA,28.9,19.8,72.0,29.99,10.0,WNW,10.4,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2019,1,24,0.495,29.7
850981,MapQuest,44.976921000000004,-93.088722,0.97000002861,R,Saint Paul,MN,US/Central,KSTP,30.0,30.0,72.0,29.45,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2019,10,29,1.9880555555555555,119.28333333333333
471762,MapQuest,42.058395000000004,-88.315392,0.0,L,Elgin,IL,US/Central,KDPA,,,,,,,,,False,False,True,False,False,False,True,False,False,False,False,True,Day,1,2017,6,17,0.4911111111111111,29.466666666666665
2762919,Bing,32.87389,-96.8979,0.0,R,Dallas,TX,US/Central,KDAL,71.0,71.0,84.0,29.48,10.0,S,9.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2020,5,12,0.31805555555555554,19.083333333333332
2890122,Bing,33.876202,-117.660427,0.0,R,Corona,CA,US/Pacific,KAJO,64.0,64.0,67.0,29.36,10.0,W,12.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2020,4,2,0.9466666666666667,56.8
2337820,MapQuest,37.562828,-77.448112,0.0,R,Richmond,VA,US/Eastern,KRIC,68.0,,42.0,30.08,10.0,South,9.2,Clear,False,False,True,False,False,False,False,False,False,False,False,True,Day,1,2017,10,27,0.49722222222222223,29.833333333333332
1283755,MapQuest,29.802870000000002,-95.488586,0.0,L,Houston,TX,US/Central,KMCJ,,,,29.66,3.0,South,11.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,3,13,2.3383333333333334,140.3
2136661,MapQuest,35.434349,-97.579239,0.0,L,Oklahoma City,OK,US/Central,KOKC,19.0,4.5,36.0,30.77,10.0,NNW,16.1,Clear,True,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,1,16,0.49333333333333335,29.6
186695,MapQuest,42.357838,-83.216385,0.0,R,Detroit,MI,US/Eastern,KDET,81.0,,47.0,30.04,10.0,SW,12.7,Clear,False,False,True,False,False,False,False,False,False,False,False,True,Day,1,2016,9,13,0.75,45.0
3120048,Bing,45.16345,-122.91705,0.0,R,Gervais,OR,US/Pacific,KUAO,55.0,55.0,86.0,30.02,10.0,N,3.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2019,11,17,4.0,240.0
1475797,MapQuest,38.248661,-85.53154,0.0,L,Louisville,KY,US/Eastern,KLOU,46.0,43.1,83.0,29.43,6.0,NNW,5.8,Light Rain,False,False,True,False,False,False,False,False,False,False,False,True,Night,1,2018,12,21,0.4936111111111111,29.616666666666667
3044189,Bing,34.024669,-117.750932,0.0,R,Pomona,CA,US/Pacific,KPOC,55.0,55.0,82.0,29.04,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2019,12,9,1.2083333333333333,72.5
895810,MapQuest,35.321396,-80.734062,0.0,R,Charlotte,NC,US/Eastern,KJQF,46.0,46.0,93.0,29.13,0.75,CALM,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,True,Day,1,2019,11,19,1.2427777777777778,74.56666666666666
480762,MapQuest,40.066643,-76.30719,0.0,R,Lancaster,PA,US/Eastern,KLNS,66.9,,57.0,29.83,10.0,ESE,4.6,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2017,6,8,0.4936111111111111,29.616666666666667
777309,MapQuest,40.299358000000005,-83.079323,0.0,R,Delaware,OH,US/Eastern,KDLZ,19.0,13.0,86.0,29.54,10.0,SE,5.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2019,12,12,1.7572222222222222,105.43333333333334
851876,MapQuest,33.527649,-112.112602,0.0,L,Phoenix,AZ,US/Mountain,KPHX,69.0,69.0,14.0,28.62,10.0,NW,7.0,Fair,False,False,False,False,True,False,False,False,False,True,False,False,Night,1,2019,10,29,0.4961111111111111,29.766666666666666
997839,MapQuest-Bing,38.743896,-90.412598,0.0,R,Bridgeton,MO,US/Central,KSTL,70.0,70.0,78.0,29.38,4.0,ESE,8.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2019,8,25,2.6580555555555554,159.48333333333332
1146807,MapQuest,38.945457,-76.769432,0.0,R,Bowie,MD,US/Eastern,KCGS,74.0,74.0,60.0,29.78,10.0,W,6.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,5,31,1.0019444444444445,60.11666666666667
399345,MapQuest,38.550304,-121.47383899999998,0.01,R,Sacramento,CA,US/Pacific,KSAC,61.0,,67.0,30.3,10.0,NNW,5.8,Clear,False,False,False,False,True,False,False,False,False,False,False,False,Day,2,2017,4,20,0.7347222222222223,44.083333333333336
2124104,MapQuest,34.833031,-82.296837,0.0,R,Greenville,SC,US/Eastern,KGMU,61.0,,52.0,30.29,10.0,ENE,9.2,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2018,1,10,0.7441666666666666,44.65
2397627,MapQuest,32.393848,-90.145432,0.0,R,Jackson,MS,US/Central,KJAN,82.0,,67.0,29.88,10.0,NE,4.6,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2017,9,25,0.5,30.0
2766253,Bing,40.4226,-75.5237,1.216,R,East Greenville,PA,US/Eastern,KUKT,72.0,72.0,35.0,29.58,10.0,S,12.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,Day,1,2020,5,14,0.41638888888888886,24.983333333333334
676400,MapQuest,32.74538,-96.727104,0.0,R,Dallas,TX,US/Central,KDAL,41.0,35.0,70.0,29.64,10.0,NW,10.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2020,1,24,0.9936111111111111,59.61666666666667
3465206,Bing,39.369628000000006,-74.426824,0.21,R,Atlantic City,NJ,US/Eastern,KACY,68.0,68.0,88.0,29.74,1.0,NNW,20.0,Light Rain with Thunder,False,False,False,False,False,False,False,False,False,False,False,True,Day,1,2019,5,29,0.4861111111111111,29.166666666666668
2258890,MapQuest,33.958836,-117.30957,0.0,R,Riverside,CA,US/Pacific,KRAL,72.0,,46.0,29.98,10.0,Variable,3.5,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2017,11,17,0.7447222222222222,44.68333333333333
135256,MapQuest,27.900398,-82.638931,6.48,R,Saint Petersburg,FL,US/Eastern,KPIE,75.9,,71.0,30.06,10.0,NE,10.4,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2016,10,19,0.49,29.4
2352829,MapQuest,33.559952,-80.203438,0.0,L,Manning,SC,US/Eastern,KMNI,71.6,,94.0,29.92,1.5,NNW,5.8,Heavy Thunderstorms and Rain,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2017,9,5,0.49666666666666665,29.8
801766,MapQuest,30.489019,-97.57135,0.0,R,Pflugerville,TX,US/Central,KEDC,57.0,57.0,63.0,29.47,10.0,SW,5.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,12,24,1.0144444444444445,60.86666666666667
2538959,Bing,35.052599,-80.849987,0.39899999999999997,R,Charlotte,NC,US/Eastern,KEQY,46.0,43.1,29.0,30.35,10.0,NNE,5.8,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2016,11,22,6.0,360.0
1820919,MapQuest,36.129333,-86.802551,0.0,R,Nashville,TN,US/Central,KBNA,75.0,,79.0,29.94,10.0,South,4.6,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,6,11,0.49694444444444447,29.816666666666666
281523,MapQuest,29.781883,-95.43118299999999,0.0,L,Houston,TX,US/Central,KMCJ,80.6,,51.0,29.95,10.0,South,12.7,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2016,11,22,0.49722222222222223,29.833333333333332
2641550,Bing,38.81913,-76.91499,0.518,R,Suitland,MD,US/Eastern,KWBC,,,,,,North,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2017,3,1,6.0,360.0
2317850,MapQuest,40.075947,-75.361023,0.0,R,King of Prussia,PA,US/Eastern,KLOM,35.6,,100.0,30.34,5.0,Calm,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,2,2017,10,18,0.46111111111111114,27.666666666666668
3014958,Bing,34.029203,-118.01245300000001,0.0,R,La Puente,CA,US/Pacific,KEMT,70.0,70.0,16.0,30.06,10.0,CALM,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2020,2,26,0.5427777777777778,32.56666666666667
1724104,MapQuest,38.564735,-121.49774199999999,0.0,R,Sacramento,CA,US/Pacific,KSAC,86.0,,33.0,29.81,9.0,WSW,9.2,Clear,False,False,False,False,True,False,False,False,False,False,False,False,Day,1,2018,8,20,0.4922222222222222,29.533333333333335
314581,MapQuest,37.980083,-122.079025,0.0,L,Pacheco,CA,US/Pacific,KCCR,37.9,,97.0,30.12,5.0,Calm,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2017,1,31,0.7408333333333333,44.45
1047587,MapQuest,33.5821,-112.09964,0.0,R,Phoenix,AZ,US/Mountain,KDVT,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,True,Day,1,2019,7,22,1.4983333333333333,89.9
3399982,Bing,40.85198,-73.95463000000001,0.0,R,Fort Lee,NJ,US/Eastern,KTEB,50.0,,33.0,29.97,10.0,SSW,9.2,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2017,11,24,6.0,360.0
2040683,MapQuest,44.722640999999996,-123.053947,0.0,R,Albany,OR,US/Pacific,KCVO,39.9,37.8,100.0,30.48,10.0,WNW,3.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Night,2,2018,3,27,0.7455555555555555,44.733333333333334
3262715,Bing,29.546459000000002,-95.747312,0.327,R,Rosenberg,TX,US/Central,KSGR,54.0,,97.0,29.96,10.0,Calm,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2018,10,26,0.49027777777777776,29.416666666666668
1229396,MapQuest,42.347099,-71.248711,0.0,L,Auburndale,MA,US/Eastern,KBED,50.0,50.0,54.0,30.12,10.0,S,8.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,4,12,1.0169444444444444,61.016666666666666
707239,MapQuest,40.044647,-74.834526,0.0,R,Burlington,NJ,US/Eastern,KPNE,48.0,46.0,100.0,29.83,6.0,NE,5.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2020,2,11,0.49527777777777776,29.716666666666665
1271797,MapQuest,34.107346,-118.186653,0.0,R,Los Angeles,CA,US/Pacific,KCQT,59.0,,96.0,29.96,0.5,Calm,,Heavy Rain,False,False,False,False,True,False,False,False,False,False,False,False,Day,1,2019,3,6,0.4955555555555556,29.733333333333334
3287799,Bing,34.146440000000005,-118.16187,1.063,R,Pasadena,CA,US/Pacific,KMWS,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,8,21,0.49027777777777776,29.416666666666668
115217,MapQuest,33.084145,-117.29798100000001,0.0,R,Encinitas,CA,US/Pacific,KCRQ,70.0,,65.0,29.99,10.0,West,8.1,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2016,6,16,0.75,45.0
1580482,MapQuest,30.315369,-81.769287,0.0,R,Jacksonville,FL,US/Eastern,KNIP,84.9,,28.0,29.8,10.0,Variable,5.8,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,Day,2,2018,10,12,0.7447222222222222,44.68333333333333
407263,MapQuest,33.864288,-118.235374,0.01,L,Compton,CA,US/Pacific,KHHR,57.9,,90.0,29.82,10.0,SSW,4.6,Clear,False,False,False,False,False,False,False,False,False,False,False,True,Night,1,2017,4,27,0.49666666666666665,29.8
789522,MapQuest,40.754002,-73.858498,0.0,R,Corona,NY,US/Eastern,KLGA,36.0,28.0,55.0,29.84,10.0,WSW,12.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,12,18,1.7869444444444444,107.21666666666667
1342666,MapQuest,39.286377,-84.42797900000001,0.0,R,Cincinnati,OH,US/Eastern,KHAO,35.1,,96.0,30.15,2.0,Calm,,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2019,2,11,0.49777777777777776,29.866666666666667
2433115,MapQuest,30.466528000000004,-88.419449,0.0,R,Moss Point,MS,US/Central,KPQL,89.1,,61.0,30.07,10.0,Variable,4.6,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2017,8,9,0.47333333333333333,28.4
2751105,Bing,35.49844,-97.53442,0.0,R,Oklahoma City,OK,US/Central,KOKC,74.0,74.0,32.0,28.77,10.0,VAR,3.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2020,5,6,1.0,60.0
3305767,Bing,45.02666,-93.08978,0.478,R,Saint Paul,MN,US/Central,KSTP,72.0,,55.0,30.07,10.0,East,4.6,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,2,2018,6,7,6.0,360.0
